date,product
2015-01-05,sh510050
2015-01-07,空仓
2015-01-15,sh510050
2015-01-19,空仓
2015-01-21,sh510050
2015-01-28,空仓
2015-02-04,sz159915
2015-04-10,sh510050
2015-04-14,sz159915
2015-04-15,sh510050
2015-04-29,sz159915
2015-06-19,空仓
2015-07-02,sh511010
2015-07-03,空仓
2015-07-07,sh511010
2015-07-29,sz159915
2015-07-30,sh511010
2015-08-06,sz159915
2015-08-12,sh511010
2015-08-14,sz159915
2015-08-18,空仓
2015-08-26,sh511010
2015-08-28,空仓
2015-08-31,sh511010
2015-09-10,空仓
2015-09-17,sh511010
2015-09-25,sh510050
2015-09-29,sz159915
2015-12-02,sh510050
2015-12-03,sz159915
2015-12-08,sh511010
2015-12-17,sz159915
2015-12-22,sh511010
2015-12-23,sh510050
2015-12-28,sh511010
2015-12-29,sh510050
2016-01-04,sh511010
2016-01-28,空仓
2016-02-03,sh511010
2016-02-17,sz159915
2016-02-25,sh511010
2016-03-03,sh510050
2016-03-30,sz159915
2016-04-20,sh510050
2016-04-21,空仓
2016-04-26,sh510050
2016-04-27,空仓
2016-04-28,sh510050
2016-05-04,空仓
2016-05-05,sz159915
2016-05-06,空仓
2016-05-24,sh511010
2016-05-31,sz159915
2016-06-02,sh511010
2016-06-03,sz159915
2016-06-06,空仓
2016-06-07,sz159915
2016-07-07,sh510050
2016-07-08,sz159915
2016-07-11,sh510050
2016-07-13,sz159915
2016-07-27,sh510050
2016-08-03,sh511010
2016-08-08,sh510050
2016-08-11,sh511010
2016-08-12,sh510050
2016-08-29,sz159915
2016-08-31,sh510050
2016-09-06,sz159915
2016-09-07,sh510050
2016-09-08,sz159915
2016-09-14,空仓
2016-09-22,sh511010
2016-09-23,空仓
2016-09-26,sh511010
2016-10-10,sz159915
2016-10-17,sh511010
2016-10-21,sh510050
2016-12-14,空仓
2017-01-13,sh511010
2017-01-18,sh510050
2017-02-22,sz159915
2017-03-29,空仓
2017-04-05,sh510050
2017-04-14,sh511010
2017-04-17,sh510050
2017-04-18,sh511010
2017-04-19,空仓
2017-04-25,sh510050
2017-04-26,空仓
2017-05-16,sh510050
2017-05-18,空仓
2017-05-19,sh510050
2017-07-03,sz159915
2017-07-05,sh510050
2017-08-14,sz159915
2017-09-15,sh510050
2017-09-18,sz159915
2017-10-16,sh510050
2017-12-01,sh511010
2017-12-04,sh510050
2017-12-07,sh511010
2017-12-11,sh510050
2017-12-12,空仓
2017-12-13,sh511010
2018-01-02,sh510050
2018-01-05,sz159915
2018-01-08,sh510050
2018-02-08,sh511010
2018-03-01,sz159915
2018-03-02,sh511010
2018-03-09,sz159915
2018-04-12,sh511010
2018-04-26,sz159915
2018-05-02,sh511010
2018-05-09,sh510050
2018-05-10,sz159915
2018-05-11,sh511010
2018-05-15,sz159915
2018-05-18,sh510050
2018-05-21,sz159915
2018-05-28,sh511010
2018-05-29,空仓
2018-05-31,sh510050
2018-06-01,空仓
2018-06-04,sh510050
2018-06-07,空仓
2018-06-08,sh511010
2018-06-12,空仓
2018-06-13,sh511010
2018-06-28,空仓
2018-06-29,sh511010
2018-07-19,sz159915
2018-07-27,sh510050
2018-08-08,sh511010
2018-08-09,sh510050
2018-08-14,sh511010
2018-08-17,空仓
2018-09-03,sh510050
2018-09-06,空仓
2018-09-14,sh510050
2018-09-17,空仓
2018-09-18,sh510050
2018-10-08,sh511010
2018-10-10,sh510050
2018-10-11,sh511010
2018-10-19,sh510050
2018-10-26,sh511010
2018-11-12,sz159915
2018-12-06,sh511010
2018-12-11,sz159915
2018-12-12,sh511010
2019-01-21,sh510050
2019-02-18,sz159915
2019-04-08,sh510050
2019-05-06,空仓
2019-05-13,sh511010
2019-06-11,sh510050
2019-07-16,sz159915
2019-07-31,sh511010
2019-08-02,sz159915
2019-08-05,sh511010
2019-08-12,sz159915
2019-08-13,sh511010
2019-08-16,sz159915
2019-09-26,sh510050
2019-10-18,空仓
2019-10-21,sh510050
2019-10-22,空仓
2019-10-24,sh510050
2019-11-04,sz159915
2019-11-06,sh510050
2019-11-07,sz159915
2019-11-11,sh510050
2019-11-12,sz159915
2019-11-26,sh511010
2019-12-06,sz159915
2019-12-09,sh511010
2019-12-10,sz159915
2020-02-03,sh511010
2020-02-04,sz159915
2020-03-13,sh511010
2020-04-16,sz159915
2020-04-21,sh510050
2020-04-22,sz159915
2020-07-06,sh510050
2020-07-07,sz159915
2020-08-10,sh511010
2020-08-13,空仓
2020-08-17,sh510050
2020-08-20,空仓
2020-08-21,sh510050
2020-09-07,空仓
2020-09-08,sh510050
2020-09-09,空仓
2020-09-11,sh510050
2020-09-16,空仓
2020-09-18,sh510050
2020-09-22,sh511010
2020-10-09,空仓
2020-10-12,sh510050
2020-10-15,sz159915
2020-10-16,sh510050
2020-10-19,sz159915
2020-10-23,sh510050
2020-10-26,sz159915
2020-11-10,sh510050
2020-11-13,sh511010
2020-11-18,sh510050
2020-11-24,sz159915
2020-11-25,sh510050
2020-12-10,空仓
2020-12-11,sz159915
2020-12-15,sh510050
2020-12-16,sz159915
2021-02-05,sh510050
2021-02-09,sz159915
2021-02-22,sh510050
2021-02-24,sh511010
2021-02-25,sh510050
2021-02-26,空仓
2021-03-02,sh511010
2021-03-26,空仓
2021-03-30,sh511010
2021-04-01,空仓
2021-04-02,sh511010
2021-04-07,空仓
2021-04-08,sz159915
2021-04-13,sh511010
2021-04-14,sz159915
2021-07-27,sh511010
2021-07-29,sz159915
2021-07-30,sh511010
2021-08-02,sz159915
2021-08-11,sh511010
2021-08-26,sz159915
2021-08-27,sh511010
2021-09-01,空仓
2021-09-03,sh511010
2021-09-07,sh510050
2021-09-08,sh511010
2021-09-13,sh510050
2021-09-14,空仓
2021-09-23,sh510050
2021-10-14,sz159915
2021-10-15,sh510050
2021-10-18,sz159915
2021-10-25,sh510050
2021-10-27,sz159915
2021-10-28,sh510050
2021-10-29,sz159915
2021-12-08,sh510050
2021-12-15,sz159915
2021-12-17,sh510050
2021-12-21,sh511010
2021-12-28,sh510050
2022-01-05,sh511010
2022-02-22,空仓
2022-02-23,sh511010
2022-02-24,空仓
2022-03-23,sh511010
2022-04-15,sh510050
2022-04-20,sh511010
2022-05-27,sz159915
2022-07-25,sh511010
2022-08-11,sz159915
2022-08-12,sh511010
2022-08-23,sz159915
2022-08-24,sh511010
2022-09-09,sh510050
2022-09-13,sh511010
2022-09-16,空仓
2022-10-24,sh511010
2022-10-26,sz159915
2022-10-27,sh511010
2022-11-01,sz159915
2022-11-03,sh511010
2022-11-04,sz159915
